mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1464944362640381,0.2287734012291486,0.033364486694335935,0.030489735456227785,0.05,4,50,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 50}",0.7546870846828723,0.7513878732065059,0.765459123858311,0.7511858429325458,0.7457591409703083,0.7536958131301087,0.006541794870451442,27
1.2877416133880615,0.06492250938783473,0.0394597053527832,0.03470319341574568,0.05,4,100,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100}",0.759067499314239,0.7572313505559333,0.7677576302005212,0.7573903077370218,0.7484738615576334,0.7579841298730697,0.0061328541945478415,26
1.100767469406128,0.3441889625281887,0.03795104026794434,0.016962108940113536,0.05,4,150,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 150}",0.7621860252442035,0.7612260005526513,0.7698128631831783,0.7578282767693011,0.7485456605724953,0.7599197652643659,0.0069059416884652055,23
0.5250869274139405,0.18361104371316278,0.01937403678894043,0.0013649460580150807,0.05,6,50,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 50}",0.758453258353385,0.7577136688853469,0.7729302105014867,0.7562895935804405,0.7498607810314604,0.7590495024704238,0.0075744796867060395,24
0.870759916305542,0.25168041386145995,0.03612442016601562,0.006559364563778899,0.05,6,100,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100}",0.7621848705386157,0.758779469660081,0.7728930375854797,0.7581434931755814,0.7573277681944712,0.7618657278308458,0.005756327135933026,13
1.28763689994812,0.4635965203694836,0.07226104736328125,0.036690913855209194,0.05,6,150,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 150}",0.7613966919013359,0.7617184136745457,0.773574973910661,0.7585388815733821,0.7573800723598204,0.762521806683949,0.0057686212154999215,9
0.5214196681976319,0.14234527562106186,0.023236417770385744,0.00146123078107713,0.05,8,50,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50}",0.7612625937853175,0.7579631854072607,0.771537199906955,0.7550851180661747,0.7585521591409627,0.7608800512613341,0.005678549020808425,22
0.7996999263763428,0.047090997951440255,0.03774347305297852,0.0037827263186682764,0.05,8,100,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100}",0.7643777344569013,0.7596919128650801,0.7726959863107546,0.7569640401957674,0.7572719882684437,0.7622003324193893,0.005880464798331138,12
1.6893585205078125,0.47148951196082195,0.07742419242858886,0.03778801727658758,0.05,8,150,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 150}",0.7633943275252932,0.7611708086625342,0.7712097337019964,0.755724745470144,0.7562614585304457,0.7615522147780828,0.005634856199958299,18
0.3498545169830322,0.21051965293789004,0.021214628219604494,0.013962411473945646,0.1,4,50,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50}",0.7586777428519591,0.7568812078838432,0.7695448694482222,0.7566566891847297,0.7490944668100026,0.7581709952357514,0.006572090234322261,25
