mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6642714977264405,0.05981546640879709,0.03375124931335449,0.00899350644343052,,sqrt,50,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.7568239043076097,0.7827078150561911,0.7798189878893614,0.7571612088069248,0.7535807415639101,0.7660185315247995,0.012543338751418822,7
1.3385749816894532,0.32445906239244465,0.05787973403930664,0.011138252464911935,,sqrt,100,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.757710331678256,0.7828794730575175,0.7792616128879023,0.7551688945640702,0.7523230189186305,0.7654686662212752,0.012903229568715412,11
2.06371955871582,0.47302783047617825,0.09438853263854981,0.018560306900425823,,sqrt,150,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 150}",0.7595933559719279,0.7812224117062384,0.7789320815034545,0.7569156972059099,0.7532370969341485,0.7659801286643358,0.011708286940810553,9
0.6228127479553223,0.1213930424297823,0.038445138931274415,0.01771503197564321,,log2,50,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 50}",0.7568239043076097,0.7827078150561911,0.7798189878893614,0.7571612088069248,0.7535807415639101,0.7660185315247995,0.012543338751418822,7
1.3986689090728759,0.18697947039816293,0.0698166847229004,0.017201477701592117,,log2,100,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.757710331678256,0.7828794730575175,0.7792616128879023,0.7551688945640702,0.7523230189186305,0.7654686662212752,0.012903229568715412,11
2.017643404006958,0.24204042099364068,0.08202333450317383,0.008561317142684231,,log2,150,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 150}",0.7595933559719279,0.7812224117062384,0.7789320815034545,0.7569156972059099,0.7532370969341485,0.7659801286643358,0.011708286940810553,9
0.4521188735961914,0.06674142753873133,0.025776052474975587,0.01702805717984276,10,sqrt,50,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50}",0.7610626143176417,0.7649079246802482,0.7741720438387864,0.7602948695576555,0.7553985063845333,0.7631671917557731,0.006279631738940728,15
0.9595440864562989,0.13104771367198598,0.04274582862854004,0.01250973078474105,10,sqrt,100,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.7628034965279513,0.7634743837617953,0.7759510622112269,0.7592536430733955,0.7563511464350153,0.7635667464018769,0.0067026875579423596,13
1.400050115585327,0.24486356619695782,0.05010538101196289,0.0067389649494941735,10,sqrt,150,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 150}",0.762478803829517,0.7638453506210144,0.7762994945598347,0.7578968653108042,0.7544490264141686,0.7629939081470678,0.007443436921690787,17
0.4970513343811035,0.15409231368887935,0.019144153594970702,0.0012272986713387577,10,log2,50,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50}",0.7610626143176417,0.7649079246802482,0.7741720438387864,0.7602948695576555,0.7553985063845333,0.7631671917557731,0.006279631738940728,15
1.0840697288513184,0.31594822205819484,0.06422743797302247,0.02413244458817041,10,log2,100,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.7628034965279513,0.7634743837617953,0.7759510622112269,0.7592536430733955,0.7563511464350153,0.7635667464018769,0.0067026875579423596,13
1.2758488655090332,0.0871603835411823,0.06327123641967773,0.03293271500043256,10,log2,150,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 150}",0.762478803829517,0.7638453506210144,0.7762994945598347,0.7578968653108042,0.7544490264141686,0.7629939081470678,0.007443436921690787,17
0.7604126453399658,0.2669218696715893,0.029561328887939452,0.005746007453890499,20,sqrt,50,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 50}",0.7646684274036831,0.7834652589403409,0.7843963878078386,0.7641028495577704,0.7616739351136397,0.7716613717646545,0.01007267398183944,1
1.1310065269470215,0.19182858644330486,0.07026834487915039,0.025054738818403425,20,sqrt,100,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.7663942124573502,0.7829815975834129,0.7818174745911884,0.7631049177594826,0.7613834777734514,0.7711363360329772,0.009343517558378945,5
2.0213921070098877,0.4466560690550021,0.07045011520385742,0.0041577960542416355,20,sqrt,150,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 150}",0.766776079904659,0.7807328853059468,0.7815613668048759,0.7668998261735729,0.7603099177590397,0.7712560151896188,0.008424661310420843,3
0.6656446933746338,0.23683067348958498,0.0279998779296875,0.0038470087172955566,20,log2,50,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 50}",0.7646684274036831,0.7834652589403409,0.7843963878078386,0.7641028495577704,0.7616739351136397,0.7716613717646545,0.01007267398183944,1
1.1923460960388184,0.29352679111371727,0.051739501953125,0.012177421609284929,20,log2,100,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",0.7663942124573502,0.7829815975834129,0.7818174745911884,0.7631049177594826,0.7613834777734514,0.7711363360329772,0.009343517558378945,5
1.5387328147888184,0.13295590701805246,0.058427858352661136,0.006446331166454654,20,log2,150,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 150}",0.766776079904659,0.7807328853059468,0.7815613668048759,0.7668998261735729,0.7603099177590397,0.7712560151896188,0.008424661310420843,3
