,precision,recall,f1-score,support
Best Seller,0.845360824742268,0.8677248677248677,0.856396866840731,189.0
High Potential,0.6785714285714286,0.2638888888888889,0.38,72.0
Needs Improvement,0.6352459016393442,0.27385159010600707,0.38271604938271603,566.0
Normal,0.7808151093439364,0.9515445184736523,0.8577668577668578,1651.0
Premium / Niche Quality,0.9438202247191011,0.9438202247191011,0.9438202247191011,534.0
accuracy,0.8011288180610889,0.8011288180610889,0.8011288180610889,0.8011288180610889
macro avg,0.7767626978032157,0.6601660179825034,0.6841399997418812,3012.0
weighted avg,0.783965891297523,0.8011288180610889,0.7722474681130803,3012.0
