Model,Accuracy,Precision,Recall,F1-score
Decision Tree Classifier,0.7931606905710491,0.7852050129349634,0.7931606905710491,0.7551827392693632
Random Forest Classifier,0.8011288180610889,0.783965891297523,0.8011288180610889,0.7722474681130803
XGBoost Classifier,0.8034528552456839,0.8057639377515365,0.8034528552456839,0.7619640407556133
